Draft Year,Round,Pick,Name,Pro Bowler,Career Receptions,Career Yards,Career Touchdowns,Career Games,Proj. 5,Proj. 15,Proj. 32,Proj. 64,Proj. 98,Proj. 135,Proj. 170,Proj. 200,Height (m),Weight (lb),40 Yard Dash,Broad Jump,Vertical Jump,Bench Press,Arm Length,Hand Size,Receptions,Yards,Touchdowns,More Then 3 years in college,Big School,Small School,Major Injury,Off Field Issues,National Championship,QB Drafted,WR selected with previous pick
2020,1,,Jerry Jeudy,0,,,,,0,1,0,0,0,0,0,0,1.85,193,4.45,120,35,,32.125,9.5,159,2742,26,0,1,0,1,0,1,1,
2020,1,,Ceedee Lamb,0,,,,,0,1,0,0,0,0,0,0,1.905,198,4.5,124,34.5,11,32.25,9.25,173,3292,32,0,1,0,0,0,1,1,
2020,1,,Henry Ruggs,0,,,,,0,0,1,0,0,0,0,0,1.83,188,4.27,131,42,,30.5,10.125,98,1716,24,0,1,0,0,0,1,1,
2020,2,,Tee Higgins,0,,,,,0,0,0,1,0,0,0,0,1.93,216,,,,,34.125,9.25,135,2448,27,0,1,0,0,0,1,1,
2020,1,,Justin Jefferson,0,,,,,0,0,0,1,0,0,0,0,1.91,202,4.43,126,37.5,,33,9.125,165,2415,24,0,1,0,0,0,1,1,
2020,,,Tyler Johnson,0,,,,,0,0,0,0,0,1,0,0,1.88,205,,,,,30.875,9,213,3305,33,1,0,0,0,0,0,1,
2020,,,Brandon Aiyuk,0,,,,,0,0,0,0,1,0,0,0,1.85,205,4.5,128,40,11,33.5,9.75,98,1667,11,0,0,0,0,0,0,0,
2020,1,,Jalen Reagor,0,,,,,0,0,0,1,0,0,0,0,1.8,206,4.47,138,42,17,31.375,9.5,148,2248,22,0,0,0,0,0,0,0,
2020,,,KJ Hill,0,,,,,0,0,0,0,0,1,0,0,1.83,196,4.6,114,32.5,17,32.25,9.25,201,2332,20,1,1,0,0,0,0,1,
2020,,,Donavon Peoples Jones,0,,,,,0,0,0,0,1,0,0,0,1.88,212,4.48,139,44.5,,33.5,10.125,103,1327,14,0,1,0,1,0,0,0,
2020,,,Laviska Shenualt,0,,,,,0,0,1,0,0,0,0,0,1.88,227,4.58,,,17,31.875,9,149,1943,10,0,0,0,0,0,0,0,
2020,,,Gabriel Davis,0,,,,,0,0,0,1,0,0,0,0,1.88,216,4.54,124,35,14,32.25,9.25,152,2447,23,0,0,0,0,0,0,0,
2020,,,Kj Hamler,0,,,,,0,0,0,0,1,0,0,0,1.75,178,,,,15,30.75,9.375,98,1658,13,0,0,0,0,0,0,0,
2020,,,Chase Claypool,0,,,,,0,0,0,0,1,0,0,0,1.93,238,4.42,126,40.5,19,32.5,9.875,150,2159,19,1,1,0,0,0,0,1,
2020,,,Colin Johnson,0,,,,,0,0,0,0,0,1,0,0,1.98,222,,,,17,31.75,9,188,2624,15,0,1,0,0,0,0,0,
2020,,,Denzel Mims,0,,,,,0,0,0,0,1,0,0,0,1.905,207,4.38,131,38.5,16,33.875,9.375,186,2925,28,1,0,0,0,0,0,0,
2020,,,Quintez Cephus,0,,,,,0,0,0,0,0,0,1,0,1.85,202,4.73,124,38.5,23,32.125,8.75,93,1496,13,0,0,0,0,1,0,0,
2019,1,25,Marquise Brown,0,46,584,7,14,0,0,1,0,0,0,0,0,1.75,166,,,,,30.5,9,132,2413,17,0,1,0,1,0,0,1,0
2019,1,32,N'Keal Harry,0,12,105,2,7,0,0,0,1,0,0,0,0,1.88,228,4.53,122,38.5,27,33,9.5,213,2889,22,0,0,0,0,0,0,0,0
2019,2,36,Deebo Samuel,0,57,802,3,15,0,0,0,1,0,0,0,0,1.8,214,4.48,122,39,15,31.375,10,148,2076,16,1,0,0,1,0,0,0,0
2019,2,51,A.J. Brown,0,52,1051,8,16,0,0,0,1,0,0,0,0,1.84,226,4.49,120,36.5,19,32.875,9.75,189,2984,19,0,0,0,0,0,0,0,0
2019,2,56,Mecole Hardman,0,26,538,6,16,0,0,0,0,0,0,1,0,1.79,187,4.33,119,36.5,17,30.25,9,60,961,11,0,1,0,0,0,0,0,0
2019,2,57,JJ Arcega-Whiteside,0,10,169,1,16,0,0,0,0,1,0,0,0,1.88,225,4.5,118,34,,33.25,9.5,135,2219,28,1,0,0,0,0,0,0,1
2019,2,59,Parris Campbell,0,18,127,1,7,0,0,1,0,0,0,0,0,1.83,205,4.31,135,40,11,32.25,9.5,143,1768,15,1,1,0,0,0,0,1,0
2019,2,62,Andy Isabella,0,9,189,1,15,0,0,0,0,1,0,0,0,1.75,188,4.31,121,36.5,15,29.75,8.375,231,3526,30,1,0,0,0,0,0,0,0
2019,2,64,DK Metcalf,0,58,900,7,16,0,1,0,0,0,0,0,0,1.93,228,4.33,134,40.5,27,34.875,9.875,67,1228,14,0,0,0,1,0,0,0,0
2019,3,66,Diontae Johnson,0,59,680,5,16,0,0,0,0,0,0,0,1,1.8,183,4.53,123,33.5,15,30.75,9,135,2235,23,1,0,0,0,0,0,1,0
2019,3,67,Jalen Hurd,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,226,4.47,124,35.5,23,32.25,10,136,1438,10,1,1,0,0,1,0,0,1
2019,3,76,Terry McLaurin,0,58,919,7,14,0,0,0,0,0,1,0,0,1.83,208,4.35,125,37.5,18,31.5,9.125,75,1251,19,1,1,0,0,0,0,1,0
2019,3,93,Miles Boykin,0,13,198,3,16,0,0,0,0,0,0,1,0,1.93,220,4.42,140,43.5,12,33.5,9.875,77,1206,11,1,1,0,0,0,0,1,0
2019,4,103,Hakeem Butler,0,0,0,0,0,0,0,0,1,0,0,0,0,1.96,227,4.48,128,36,18,35.25,10.75,110,2149,18,1,0,0,0,0,0,0,0
2019,4,120,Gary Jennings Jr,0,0,0,0,1,0,0,0,0,0,1,0,0,1.85,214,4.42,127,37,20,32.5,9.625,168,2294,17,1,1,0,0,0,0,1,0
2019,4,126,Riley Ridley,0,6,69,0,5,0,0,0,0,0,1,0,0,1.85,199,4.58,124,30.5,13,32.625,10.25,69,1015,13,0,1,0,0,0,0,0,0
2019,5,149,Hunter Renfrow,0,49,605,4,13,0,0,0,0,0,0,1,0,1.78,184,4.59,116,35,7,29.125,7.875,186,2133,15,1,1,0,1,0,1,1,0
2019,5,171,Darius Slayton,0,48,740,8,14,0,0,0,0,0,0,0,1,1.85,190,4.39,135,40.5,11,32.75,10,79,1605,11,1,1,0,0,0,0,1,0
2019,6,174,KeeSean Johnson,0,21,187,1,10,0,0,0,0,0,0,0,1,1.85,201,4.6,117,30,14,32,9.5,275,3463,24,1,0,0,0,0,0,0,0
2019,6,184,Travis Fulgham,0,0,0,0,3,0,0,0,0,0,0,0,0,1.9,215,4.58,126,36.5,15,33.75,9.5,128,2044,18,1,0,0,0,0,0,0,0
2019,6,187,Juwann Winfree,0,0,0,0,3,0,0,0,0,0,0,0,0,1.88,210,4.53,125,33,,31.5,9.75,60,807,6,1,0,0,1,1,0,0,0
2019,6,203,Marcus Green,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,190,4.41,124,37,,30.75,9,202,2698,23,1,0,1,0,0,0,0,0
2019,6,206,Kelvin Harmon,0,30,365,0,16,0,0,0,0,1,0,0,0,1.88,221,4.6,117,32.5,18,32.5,9.5,177,2665,16,0,0,0,0,0,0,1,0
2019,6,208,Scott Miller,0,13,200,1,10,0,0,0,0,0,0,0,0,1.75,174,4.36,123,34,,29.25,8.75,215,2867,23,1,0,0,0,0,0,0,0
2019,7,236,John Ursua,0,0,0,0,3,0,0,0,0,0,0,0,1,1.75,178,4.56,120,37,,29.875,9.25,189,2662,24,0,0,0,1,0,0,0,0
2019,7,237,Terry Godwin,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8,184,4.55,,36.5,,30,9.375,134,1800,11,1,1,0,0,0,0,0,1
2019,7,239,Dillon Mitchell,0,0,0,0,0,0,0,0,0,0,0,0,1,1.85,197,4.46,122,36.5,12,31.5,9,119,1710,14,0,1,0,0,1,0,0,0
2019,7,247,Olabisi Johnson,0,31,294,3,16,0,0,0,0,0,0,0,0,1.83,204,4.51,124,38,14,30.75,10.375,125,2019,11,1,0,0,0,0,0,1,0
2018,1,24,D.J. Moore,0,142,1963,6,31,0,0,1,0,0,0,0,0,1.83,210,4.42,132,39.5,15,31.625,9,146,2027,17,0,0,0,0,0,0,0,0
2018,1,26,Calvin Ridley,0,127,1687,17,29,0,1,0,0,0,0,0,0,1.85,189,4.43,110,31,15,31.625,9.125,224,2781,19,0,1,0,0,0,1,1,0
2018,2,40,Courtland Sutton,1,114,1816,10,32,0,0,1,0,0,0,0,0,1.93,218,4.54,124,35.5,18,32.375,9.75,195,3220,31,1,0,0,1,0,0,1,0
2018,2,44,Dante Pettis,0,38,576,7,23,0,0,0,0,0,1,0,0,1.85,186,,,,,32.25,9.5,163,2256,24,1,1,0,0,0,0,0,0
2018,2,47,Christian Kirk,0,111,1299,6,25,0,0,0,1,0,0,0,0,1.8,201,4.47,115,35.5,20,30.375,9.875,324,2856,23,0,0,0,0,1,0,0,0
2018,2,51,Anthony Miller,0,85,1079,9,31,0,0,0,0,1,0,0,0,1.8,201,4.5,125,39,22,31.625,10,238,3590,37,0,0,0,1,0,0,1,0
2018,2,60,James Washington,0,60,952,4,29,0,0,0,0,1,0,0,0,1.8,213,4.54,120,34.25,14,32.375,9.75,226,4472,39,1,0,0,0,0,0,1,0
2018,2,61,D.J. Chark,1,87,1182,8,26,0,0,0,1,0,0,0,0,1.93,199,4.34,129,40,16,32.375,9.25,66,1351,6,0,1,0,0,1,0,1,1
2018,3,81,Michael Gallup,0,99,1614,8,30,0,0,0,0,0,1,0,0,1.85,205,4.51,122,36,10,31.5,9.25,176,2690,21,0,0,0,0,0,0,1,0
2018,3,91,Tre'Quan Smith,0,46,661,10,26,0,0,0,0,0,1,0,0,1.88,203,4.49,130,37.5,12,33.375,9.5,168,2747,22,0,0,0,0,0,0,0,0
2018,4,103,Keke Coutie,0,50,541,1,15,0,0,0,0,0,0,1,0,1.78,181,4.43,113,34.5,14,29.875,8.375,159,2424,17,0,0,0,0,0,0,1,0
2018,4,105,Antonio Callaway,0,51,675,5,20,0,0,0,0,0,0,1,0,1.8,200,4.41,121,34,,31.5,9.5,89,1399,7,0,1,0,0,1,0,0,0
2018,4,113,Daesean Hamilton,0,58,540,3,30,0,0,0,0,1,0,0,0,1.85,203,4.52,118,34.5,,31,9.375,214,2842,18,1,1,0,0,0,0,1,0
2018,4,132,Jaleel Scott,0,0,0,0,3,0,0,0,0,0,1,0,0,1.96,218,4.56,124,34.5,16,33.5,10,99,1362,14,0,0,0,0,0,0,0,0
2018,4,133,J'Mon Moore,0,2,15,0,12,0,0,0,0,0,0,0,1,1.91,207,4.6,120,38,21,32.875,9.375,158,2477,21,1,0,0,0,0,0,0,1
2018,5,144,Justin Watson,0,15,164,2,28,0,0,0,0,0,0,0,1,1.9,215,4.44,124,40,,33.75,9.25,286,3777,33,1,1,0,0,0,0,0,0
2018,5,159,Daurice Fountain,0,0,0,0,1,0,0,0,0,0,0,0,1,1.85,206,4.51,134,42.5,14,34,10.125,150,2077,23,1,0,0,0,0,0,0,0
2018,5,162,Jordan Lasley,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,203,4.5,112,34.5,8,32.75,9.625,113,1901,14,0,0,0,0,1,0,1,0
2018,5,174,Marquez Valdez-Scantling,0,64,1033,4,32,0,0,0,0,0,0,0,0,1.93,206,4.37,124,305,15,32.25,10,119,1832,12,1,0,0,0,0,0,0,0
2018,6,175,Damion Ratley,0,25,344,1,26,0,0,0,0,0,0,0,0,1.88,196,4.39,124,38,,31,9.5,47,920,8,0,0,0,0,1,0,0,1
2018,6,185,Deon Cain,0,9,124,0,13,0,0,0,0,0,1,0,0,1.88,202,4.43,115,33.5,11,33,8.75,130,2040,20,0,1,0,0,1,1,1,0
2018,6,187,Ray-Ray McLeod,0,1,13,0,1,0,0,0,0,0,0,0,0,1.75,190,4.53,113,34.5,13,30.25,9.25,127,1226,4,0,1,0,0,1,1,1,0
2018,6,191,Dylan Cantrell,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,226,4.44,135,41,18,31.375,9.25,158,1873,18,1,0,0,0,0,0,1,0
2018,6,194,Russell Gage,0,55,509,1,31,0,0,0,0,0,0,0,0,1.83,182,4.42,122,39,15,33,9.125,26,347,4,1,1,0,0,0,0,1,0
2018,6,207,Equanimeous St. Brown,0,21,328,0,12,0,0,0,1,0,0,0,0,1.96,214,4.48,,34.5,,33,9.75,92,1484,13,0,1,0,0,0,0,1,0
2018,6,208,Cedrick Wilson,0,5,46,0,6,0,0,0,0,0,0,1,0,1.88,197,4.55,121,37,9,31.5,9.75,139,2640,18,0,0,0,0,0,0,0,0
2018,6,210,Braxton Berrios,0,6,115,0,16,0,0,0,0,0,0,1,0,1.75,184,4.44,110,36,11,28,9.25,100,1175,14,1,0,0,0,0,0,1,0
2018,7,224,Javon Wims,0,22,218,1,20,0,0,0,0,0,0,1,0,1.93,215,4.53,113,33.5,,31.5,9.25,62,910,8,0,1,0,1,0,0,0,0
