Name,Pro Bowl,Career Receptions,Career Yards,Career Touchdowns,Career Games,Adj. Rec. S.,Adj. Yards.S.,Adj.TDS.S,Adj.Rec.G,Adj.Yards.G,Adj.TDS.G,Height (m),Weight (lb),40 Yard Dash,Broad Jump,Vertical Jump,Arm Length,Hand Size,Receptions,Yards,Touchdowns,More Then 3 years in college,Big School,Small School,Major Injury,Off Field Issues
D.J. Moore,0,142,1963,6,31,71,981.5,3,4.580645161,63.32258065,0.193548387,1.83,210,4.42,132,39.5,31.625,9,146,2027,17,0,0,0,0,0
Calvin Ridley,0,127,1687,17,29,63.5,843.5,8.5,4.379310345,58.17241379,0.586206897,1.85,189,4.43,110,31,31.625,9.125,224,2781,19,0,1,0,0,0
Courtland Sutton,1,114,1816,10,32,57,908,5,3.5625,56.75,0.3125,1.93,218,4.54,124,35.5,32.375,9.75,195,3220,31,1,0,0,1,0
Dante Pettis,0,38,576,7,23,19,288,3.5,1.652173913,25.04347826,0.304347826,1.85,186,,,,32.25,9.5,163,2256,24,1,1,0,0,0
Christian Kirk,0,111,1299,6,25,55.5,649.5,3,4.44,51.96,0.24,1.8,201,4.47,115,35.5,30.375,9.875,324,2856,23,0,0,0,0,1
Anthony Miller,0,85,1079,9,31,42.5,539.5,4.5,2.741935484,34.80645161,0.290322581,1.8,201,4.5,125,39,31.625,10,238,3590,37,0,0,0,1,0
James Washington,0,60,952,4,29,30,476,2,2.068965517,32.82758621,0.137931035,1.8,213,4.54,120,34.25,32.375,9.75,226,4472,39,1,0,0,0,0
D.J. Chark,1,87,1182,8,26,43.5,591,4,3.346153846,45.46153846,0.307692308,1.93,199,4.34,129,40,32.375,9.25,66,1351,6,0,1,0,0,1
Michael Gallup,0,99,1614,8,30,49.5,807,4,3.3,53.8,0.266666667,1.85,205,4.51,122,36,31.5,9.25,176,2690,21,0,0,0,0,0
Tre'Quan Smith,0,46,661,10,26,23,330.5,5,1.769230769,25.42307692,0.384615385,1.88,203,4.49,130,37.5,33.375,9.5,168,2747,22,0,0,0,0,0
Keke Coutie,0,50,541,1,15,25,270.5,0.5,3.333333333,36.06666667,0.066666667,1.78,181,4.43,113,34.5,29.875,8.375,159,2424,17,0,0,0,0,0
Antonio Callaway,0,51,675,5,20,25.5,337.5,2.5,2.55,33.75,0.25,1.8,200,4.41,121,34,31.5,9.5,89,1399,7,0,1,0,0,1
Daesean Hamilton,0,58,540,3,30,29,270,1.5,1.933333333,18,0.1,1.85,203,4.52,118,34.5,31,9.375,214,2842,18,1,1,0,0,0
Jaleel Scott,0,0,0,0,3,0,0,0,0,0,0,1.96,218,4.56,124,34.5,33.5,10,99,1362,14,0,0,0,0,0
J'Mon Moore,0,2,15,0,12,1,7.5,0,0.166666667,1.25,0,1.91,207,4.6,120,38,32.875,9.375,158,2477,21,1,0,0,0,0
Justin Watson,0,15,164,2,28,7.5,82,1,0.535714286,5.857142857,0.071428571,1.9,215,4.44,124,40,33.75,9.25,286,3777,33,1,1,0,0,0
Daurice Fountain,0,0,0,0,1,0,0,0,0,0,0,1.85,206,4.51,134,42.5,34,10.125,150,2077,23,1,0,0,0,0
Jordan Lasley,0,0,0,0,0,0,0,0,0,0,0,1.85,203,4.5,112,34.5,32.75,9.625,113,1901,14,0,0,0,0,1
Marquez Valdez-Scantling,0,64,1033,4,32,32,516.5,2,2,32.28125,0.125,1.93,206,4.37,124,30.5,32.25,10,119,1832,12,1,0,0,0,0
Damion Ratley,0,25,344,1,26,12.5,172,0.5,0.961538462,13.23076923,0.038461538,1.88,196,4.39,124,38,31,9.5,47,920,8,0,0,0,0,1
Deon Cain,0,9,124,0,13,4.5,62,0,0.692307692,9.538461538,0,1.88,202,4.43,115,33.5,33,8.75,130,2040,20,0,1,0,0,1
Ray-Ray McLeod,0,1,13,0,1,0.5,6.5,0,1,13,0,1.75,190,4.53,113,34.5,30.25,9.25,127,1226,4,0,1,0,0,1
Dylan Cantrell,0,0,0,0,0,0,0,0,0,0,0,1.91,226,4.44,135,41,31.375,9.25,158,1873,18,1,0,0,0,0
Russell Gage,0,55,509,1,31,27.5,254.5,0.5,1.774193548,16.41935484,0.032258065,1.83,182,4.42,122,39,33,9.125,26,347,4,1,1,0,0,0
Equanimeous St. Brown,0,21,328,0,12,10.5,164,0,1.75,27.33333333,0,1.96,214,4.48,,34.5,33,9.75,92,1484,13,0,1,0,0,0
